"build","experimentName","subject","date","time","block","StaySwitch","conc","trialnum","outcomeindex","practiceblock","cannon","hitmiss","ang","angmu","angrand","angsurprise","cannonballs_caught","cannonballs_missed","placementAngle","calculateSelectedPosition","centsearned","totalearnings","centsearned","trial.Instructions_PlaceShield.latency","trial.placeshield_mouse.latency","picture.shield.currentitem","angoddball","angsurprise","angleup","angledown"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","138.9687186989394831471","0","0","27.3075035207385568015","27.3075035207385568015","0.0500000000000000028","0","0","1460","0","Arc4-removebg-preview.png","3.8000632266328033815","228.1948409015766401353","27.3075035207385568015","27.3075035207385568015"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","169.815359797751369797","0","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0","1460","1647","Arc4-removebg-preview.png","-2.07283208882584713","358.5299429294024093906","359.7258596062662832082","359.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","134.5259907502974385807","0","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0","1460","1647","Arc18-removebg-preview.png","-2.4732538009128011147","51.1248785283241602428","367.7258596062662832082","351.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","5","2","1","1","0","0","0","109.3994139296467125178","1","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.0500000000000000028","1460","1647","Arc18-removebg-preview.png","-0.283481812224249119","336.4611178302348548641","367.7258596062662832082","351.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","5","2","1","1","0","0","0","59.0957754149790304155","1","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.0500000000000000028","1460","1647","Arc18-removebg-preview.png","-2.5445020340750090782","29.1861134928618781714","367.7258596062662832082","351.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","5","2","1","1","0","0","0","309.7287821838932018181","1","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.0500000000000000028","1460","1408","Arc18-removebg-preview.png","2.8353389550860552681","69.6199699094565573887","367.7258596062662832082","351.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","5","2","1","1","0","0","0","342.8792037868125248679","1","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.0500000000000000028","1460","1408","Arc16-removebg-preview.png","0.22769257683116359","10.4016083223748960762","366.7258596062662832082","352.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","5","2","1","1","0","0","0","336.3090567794416756442","2","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.1000000000000000056","1460","1408","Arc16-removebg-preview.png","-4.9055776236041701566","134.4495827458914334329","366.7258596062662832082","352.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","5","2","1","1","0","0","0","147.6217310939966012029","2","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.1000000000000000056","1460","1408","Arc16-removebg-preview.png","-2.3553376580450358091","17.1751946809643847303","366.7258596062662832082","352.7258596062662832082"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","5","2","1","1","0","0","0","108.5203279714380073528","2","0","359.7258596062662832082","359.7258596062662832082","0.0500000000000000028","0","0.1000000000000000056","1460","766","Arc16-removebg-preview.png","2.2124303561431628573","59.1209901913816580077","366.7258596062662832082","352.7258596062662832082"
