"build","experimentName","subject","date","time","numTrialEachBlock","faceDuration","stimulusAndFeedbackGapDuration","ITI","blockNumber","blockName","faceName","trialCounter","responseName","responseTime","responseAndFeedbackCategory","isResponseCorrect","isFeedbackAccurate"
"6.4.2","Reversal_Task","550","2021-07-12","16:02:59","40","","500","2000","0","practice","","0","","","IRIF","-1","1"
"6.4.2","Reversal_Task","213690447","2021-07-23","10:27:46","40","","500","2000","0","practice","","0","","","CRIF","1","-1"
"build","experimentName","subject","date","time","trial.presentation_left.response","trial.presentation_left.latency","trial.presentation_right.response","trial.presentation_right.latency","picture.Left.currentvalue","picture.Right.currentvalue","numTrialEachBlock","ITI","instructionIndex","practiceInstructionIndex","block_number","blockName","blockNumber","LeftStimSelected","RightStimSelected","percentTrialsCorrectFeedback_left","percentTrialsCorrectFeedback_right","responseAndFeedbackCategory","isThisTrialPractice","trialCounter","isResponseCorrect","isFeedbackAccurate","trial_number","numbercorrect","numberoftimesleft","numberoftimesright","rightleft","reversalnumber","totalearnings","centsearned"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","332","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","29","23","29","0","left","48","1.5","11.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","332","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","29","24","29","0","left","48","1.5","12"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","342","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","30","24","30","0","left","48","1.5","12"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","342","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","30","25","30","0","left","48","1.5","12.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","298","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","31","25","31","0","left","48","1.5","12.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","298","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","31","26","31","0","left","48","1.5","13"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","306","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","32","26","32","0","left","48","1.5","13"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","306","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","32","27","32","0","left","48","1.5","13.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","318","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","33","27","33","0","left","48","1.5","13.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","318","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","33","28","33","0","left","48","1.5","14"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","214","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRIF","0","0","1","-1","34","28","34","0","left","48","1.5","14"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","214","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRIF","0","0","1","-1","34","28","34","0","left","48","1.5","14"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","270","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","35","28","35","0","left","48","1.5","14"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","270","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","35","29","35","0","left","48","1.5","14.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","201","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRIF","0","0","1","-1","36","29","36","0","left","48","1.5","14.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","201","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRIF","0","0","1","-1","36","29","36","0","left","48","1.5","14.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","162","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRIF","0","0","1","-1","37","29","37","0","left","48","1.5","14.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","162","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRIF","0","0","1","-1","37","29","37","0","left","48","1.5","14.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","233","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","38","29","38","0","left","48","1.5","14.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","233","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","38","30","38","0","left","48","1.5","15"
