"build","experimentName","subject","date","time","blockcode","trialcode","list.Condition.currentvalue","cond","condcolor","percentTrialsStay","practiceblock","cannon","conc","blocknum","trialnum","StaySwitch","TAC","hitmiss","angmu","outcome","placementAngle","prev_placementAngle","trial.placeshield_mouse.latency","cannonballs_caught","cannonballs_missed","totalearnings","angleup","angledown","outcomeindex","update","distmean","shield_size","blockearnings","block.InstructionBlock.timestamp","trial.begin_block.timestamp","trial.mainloop.timestamp","trial.placeshield_mouse.timestamp","trial.showPE.timestamp","trial.cannon_outcome.timestamp","picture.shield.currentitem"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","placeshield_mouse","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","1","206.4936110186110340692","224.247088727883010506","206.4396776802148565366","201.9695962229873771321","153","1","1","2.5","257.4396776802148565366","155.4396776802148565366","5","10.9356467000005181944","9.2655843523038754483","51","0","0","32556","40073","40129","38239","39758","Arc51.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","revealshield","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","1","206.4936110186110340692","224.247088727883010506","206.4396776802148565366","201.9695962229873771321","153","1","1","2.5","216.4396776802148565366","196.4396776802148565366","5","4.4700814572274794045","0.0539333383961775326","10","0","0","32556","40073","40129","40289","39758","Arc10.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","cannon_outcome","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","206.4936110186110340692","224.247088727883010506","206.4396776802148565366","201.9695962229873771321","153","1","2","2.5","216.4396776802148565366","196.4396776802148565366","6","4.4700814572274794045","0.0539333383961775326","10","0","0","32556","40073","40129","40289","41805","Arc10.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","mainloop","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","209.8992298335893735839","155.4227091480058220441","206.4396776802148565366","201.9695962229873771321","153","1","2","2.5","216.4396776802148565366","196.4396776802148565366","6","4.4700814572274794045","0.0539333383961775326","10","0","0","32556","42123","40129","40289","41805","Arc10.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","placeshield_mouse","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","209.8992298335893735839","155.4227091480058220441","209.297267126081663946","206.4396776802148565366","165","1","2","2.5","219.297267126081663946","199.297267126081663946","6","4.4700814572274794045","0.0539333383961775326","10","0","0","32556","42123","42178","40289","41805","Arc10.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","revealshield","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","209.8992298335893735839","155.4227091480058220441","209.297267126081663946","206.4396776802148565366","165","1","2","2.5","231.297267126081663946","187.297267126081663946","6","2.8575894458668074094","0.6019627075077096379","22","0","0","32556","42123","42178","42354","41805","Arc22.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","cannon_outcome","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","209.8992298335893735839","155.4227091480058220441","209.297267126081663946","206.4396776802148565366","165","1","3","2.5","231.297267126081663946","187.297267126081663946","6","2.8575894458668074094","0.6019627075077096379","22","0","0","32556","42123","42178","42354","43872","Arc22.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","Reminder","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","209.8992298335893735839","155.4227091480058220441","209.297267126081663946","206.4396776802148565366","165","1","3","2.5","231.297267126081663946","187.297267126081663946","6","2.8575894458668074094","0.6019627075077096379","22","0","0","32556","42123","42178","42354","43872","Arc22.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","mainloop","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","1","0","0","209.8992298335893735839","198.9702637770609783274","209.297267126081663946","206.4396776802148565366","165","1","3","2.5","231.297267126081663946","187.297267126081663946","6","2.8575894458668074094","0.6019627075077096379","22","0","0","32556","45305","42178","42354","43872","Arc22.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","placeshield_mouse","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","1","0","0","209.8992298335893735839","198.9702637770609783274","211.1593045083443769272","209.297267126081663946","810","1","3","2.5","233.1593045083443769272","189.1593045083443769272","6","2.8575894458668074094","0.6019627075077096379","22","0","0","32556","45305","45361","42354","43872","Arc22.png"
